home_type,state,borough,zip,lot_size,house_area,bedrooms,bathrooms,price
MULTI_FAMILY,NY,Rochester,14613,0.0788,1898.0,4.0,2,75000
MULTI_FAMILY,NY,Rochester,14611,0.0838,2594.0,5.0,2,44777
SINGLE_FAMILY,NY,Rochester,14621,0.0673,1148.0,1.0,4,59900
MULTI_FAMILY,NY,Rochester,14621,0.0595,1620.0,4.0,2,45000
SINGLE_FAMILY,NY,Rochester,14609,0.1247,1943.0,3.0,2,66600
SINGLE_FAMILY,NY,Rochester,14606,0.1034,1522.0,3.0,2,19900
SINGLE_FAMILY,NY,Rochester,14605,0.1,1073.0,3.0,1,49900
MULTI_FAMILY,NY,Rochester,14609,0.13,1500.0,6.0,3,65000
MULTI_FAMILY,NY,Rochester,14621,0.0867,1872.0,4.0,2,49900
MULTI_FAMILY,NY,Rochester,14609,0.1155,2148.0,6.0,2,79900
SINGLE_FAMILY,NY,Rochester,14611,0.1677,1815.0,3.0,2,59000
SINGLE_FAMILY,NY,Rochester,14621,0.1446,1728.0,2.0,2,299900
MULTI_FAMILY,NY,Rochester,14619,0.11,3360.0,4.0,4,169900
SINGLE_FAMILY,NY,Rochester,14612,0.18,1797.0,3.0,3,374900
SINGLE_FAMILY,NY,Rochester,14609,0.0773,1706.0,3.0,2,38000
SINGLE_FAMILY,NY,Rochester,14608,0.09,1174.0,3.0,1,64900
SINGLE_FAMILY,NY,Rochester,14611,0.1163,1334.0,3.0,2,95000
SINGLE_FAMILY,NY,Rochester,14626,0.32,1722.0,2.0,2,419900
SINGLE_FAMILY,NY,Rochester,14621,0.0534,1810.0,3.0,1,33000
SINGLE_FAMILY,NY,Rochester,14605,0.122,1302.0,4.0,1,69500
SINGLE_FAMILY,NY,Rochester,14621,0.0792,1865.0,3.0,2,70000
MULTI_FAMILY,NY,Rochester,14605,0.1102,1792.0,4.0,2,60000
MULTI_FAMILY,NY,Rochester,14605,0.0624,1932.0,5.0,2,80000
SINGLE_FAMILY,NY,Rochester,14606,0.26,1632.0,0.0,0,59901
SINGLE_FAMILY,NY,Rochester,14621,0.0534,1810.0,3.0,1,33000
SINGLE_FAMILY,NY,Rochester,14611,0.1199,1128.0,3.0,1,99900
MULTI_FAMILY,NY,Rochester,14611,0.0838,2594.0,5.0,2,44777
SINGLE_FAMILY,NY,Rochester,14621,0.0781,1148.0,3.0,1,39900
SINGLE_FAMILY,NY,Rochester,14609,0.0923,1534.0,3.0,1,49000
MULTI_FAMILY,NY,Rochester,14609,0.0923,1792.0,4.0,2,64777
MULTI_FAMILY,NY,Rochester,14609,0.1033,2106.0,4.0,2,124900
MULTI_FAMILY,NY,Rochester,14621,0.21,1820.0,6.0,3,79900
SINGLE_FAMILY,NY,Rochester,14626,0.2351,1708.0,3.0,3,389900
SINGLE_FAMILY,NY,Rochester,14611,0.0548,1265.0,3.0,1,44900
MULTI_FAMILY,NY,Rochester,14609,0.13,1500.0,6.0,3,65000
SINGLE_FAMILY,NY,Rochester,14605,0.101,1446.0,3.0,2,70000
MULTI_FAMILY,NY,Rochester,14612,0.1348,1920.0,4.0,4,174900
MULTI_FAMILY,NY,Rochester,14613,0.1303,4835.0,7.0,4,125000
SINGLE_FAMILY,NY,Rochester,14606,0.1172,1688.0,4.0,2,89399
SINGLE_FAMILY,NY,Rochester,14605,0.0771,1828.0,3.0,1,65000
SINGLE_FAMILY,NY,Rochester,14621,0.1219,1741.0,5.0,2,79900
SINGLE_FAMILY,NY,Rochester,14621,0.0792,1865.0,3.0,2,70000
MULTI_FAMILY,NY,Rochester,14613,0.1436,2730.0,3.0,3,177700
SINGLE_FAMILY,NY,Rochester,14606,0.0698,1255.0,3.0,1,50000
MULTI_FAMILY,NY,Rochester,14613,0.13,1540.0,3.0,2,115000
SINGLE_FAMILY,NY,Rochester,14621,0.0923,1381.0,4.0,2,59900
SINGLE_FAMILY,NY,Rochester,14609,0.0612,1200.0,4.0,2,54900
SINGLE_FAMILY,NY,Rochester,14626,0.486,1908.0,3.0,2,439900
SINGLE_FAMILY,NY,Rochester,14606,0.0861,1187.0,3.0,1,64900
MULTI_FAMILY,NY,Rochester,14608,0.0826,2842.0,6.0,2,79900
SINGLE_FAMILY,NY,Rochester,14613,0.0866,1430.0,3.0,1,99900
SINGLE_FAMILY,NY,Rochester,14606,0.2,840.0,2.0,1,49900
MULTI_FAMILY,NY,Rochester,14609,0.0918,1755.0,4.0,2,90000
MULTI_FAMILY,NY,Rochester,14608,0.0876,2778.0,5.0,3,374995
MULTI_FAMILY,NY,Rochester,14606,0.1045,1604.0,4.0,2,74900
MULTI_FAMILY,NY,Rochester,14621,0.0983,2496.0,6.0,2,90000
SINGLE_FAMILY,NY,Rochester,14608,0.1,1800.0,5.0,2,79000
SINGLE_FAMILY,NY,Rochester,14621,0.0828,1881.0,5.0,2,59900
SINGLE_FAMILY,NY,Rochester,14609,0.1102,1629.0,3.0,2,59500
TOWNHOUSE,NY,Rochester,14606,0.04,1306.0,2.0,2,244900
MULTI_FAMILY,NY,Rochester,14605,0.1102,1838.0,4.0,2,69900
SINGLE_FAMILY,NY,Rochester,14626,1.0,2216.0,3.0,3,499900
MULTI_FAMILY,NY,Rochester,14615,0.1333,2296.0,6.0,2,127512
MULTI_FAMILY,NY,Rochester,14613,0.0805,1840.0,4.0,2,50500
SINGLE_FAMILY,NY,Rochester,14613,0.094,1620.0,3.0,1,59900
MULTI_FAMILY,NY,Rochester,14621,0.0595,1620.0,4.0,2,45000
SINGLE_FAMILY,NY,Rochester,14608,0.0712,1118.0,2.0,1,29000
MULTI_FAMILY,NY,Rochester,14609,0.1056,2320.0,4.0,2,69900
MULTI_FAMILY,NY,Rochester,14609,0.09,1730.0,4.0,2,129900
MULTI_FAMILY,NY,Rochester,14621,0.1047,1966.0,5.0,2,55000
MULTI_FAMILY,NY,Rochester,14621,0.0723,1788.0,4.0,2,59900
MULTI_FAMILY,NY,Rochester,14621,0.1195,1536.0,4.0,2,95000
MULTI_FAMILY,NY,Rochester,14606,0.0701,2207.0,5.0,2,47000
MULTI_FAMILY,NY,Rochester,14608,0.1061,1936.0,4.0,2,45000
MULTI_FAMILY,NY,Rochester,14621,0.0,2298.0,6.0,2,79900
SINGLE_FAMILY,NY,Rochester,14608,0.1068,1408.0,3.0,1,49000
CONDO,NY,Rochester,14615,0.0982,899.0,2.0,1,109700
SINGLE_FAMILY,NY,Rochester,14616,1.64,2588.0,3.0,3,649900
MULTI_FAMILY,NY,Rochester,14621,0.1406,5796.0,8.0,4,85000
