zipcode,city,state,county,population,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count,crime_count,crime_rate
1721,Ashland,MA,Middlesex,49779,546200,6,4,22,0,2,3,294,1881,609654,8,,
1730,Bedford,MA,Middlesex,39663,1424000,9,74,14,0,4,4,429,3526,1386619,12,,
1731,Hanscom Afb,MA,Middlesex,4188,,,,,,,,,,,,,
1740,Bolton,MA,Worcester,14691,905000,6,61,4,0,0,4,371,2220,906280,9,,
1741,Carlisle,MA,Middlesex,14556,,,,,,,,,,,,,
1742,Concord,MA,Middlesex,53178,,,,,,,,,,,,,
1745,Fayville,MA,Worcester,1191,749900,1,5,2,0,0,,328,2284,749900,1,,
1746,Holliston,MA,Middlesex,40641,,,,,,,,,,,,,
1747,Hopedale,MA,Worcester,17733,,,,,,,,,,,,,
1748,Hopkinton,MA,Middlesex,44775,1251250,20,16,26,0,0,5,354,3721,1404840,24,,
1749,Hudson,MA,Middlesex,57189,840745,27,35,24,4,0,8,354,2369,823476,34,,
1752,Marlborough,MA,Middlesex,115497,,,,,,,,,,,,,
1754,Maynard,MA,Middlesex,30318,,,,,,,,,,,,,
1756,Mendon,MA,Worcester,17517,,,,,,,,,,,,,
1757,Milford,MA,Worcester,84183,515700,11,20,14,0,2,5,284,1864,509543,15,,
1760,Natick,MA,Middlesex,98358,1186000,22,18,32,0,8,9,434,2378,1267926,30,,
1770,Sherborn,MA,Middlesex,12357,,,,,,,,,,,,,
1772,Southborough,MA,Worcester,28110,,,,,,,,,,,,,
1773,Lincoln,MA,Middlesex,15336,1645000,5,13,6,0,0,2,436,4206,1895275,6,,
1775,Stow,MA,Middlesex,19770,1321250,4,35,6,0,0,2,353,3639,1172450,6,,
1776,Sudbury,MA,Middlesex,52977,,,,,,,,,,,,,
1778,Wayland,MA,Middlesex,39327,,,,,,,,,,,,,
1784,Woodville,MA,Middlesex,,,,,,,,,,,,,,
1801,Woburn,MA,Middlesex,116709,732475,17,18,16,4,4,3,444,1708,853059,20,,
1803,Burlington,MA,Middlesex,73461,1571125,19,32,16,0,2,6,367,3847,1358000,25,,
